Series;Episode;Character;Phrase
1;01;Sheldon; Hi.
1;01;Leonard; Hi.
1;01;Sheldon; Hi.
1;01;Penny; Hi?
1;01;Leonard; We don’t mean to interrupt, we live across the hall.
1;01;Penny; Oh, that’s nice.
1;01;Leonard; Oh… uh… no… we don’t live together… um… we live together but in separate, heterosexual bedrooms.
1;01;Penny; Oh, okay, well, guess I’m your new neighbour, Penny.
1;01;Leonard; Leonard, Sheldon.
1;01;Penny; Hi.
1;01;Leonard; Hi.
1;01;Sheldon; Hi.
1;01;Penny; Hi. 
1;01;Leonard; Hi. Well, uh, oh, welcome to the building.
1;01;Penny; Thankyou, maybe we can have coffee sometime.
1;01;Leonard; Oh, great.
1;01;Penny; Great. 
1;01;Sheldon; Great.
1;01;Leonard; Great. Well, bye.
1;01;Penny; Bye.
1;01;Sheldon; Bye.
1;01;Leonard; Bye. 
1;01;Leonard; Should we have invited her for lunch?
1;01;Sheldon; No. We’re going to start Season Two of Battlestar Galactica.
1;01;Leonard; We already watched the Season Two DVDs.
1;01;Sheldon; Not with commentary.
1;01;Leonard; I think we should be good neighbours, invite her over, make her feel welcome.
1;01;Sheldon; We never invited Louis-slash-Louise over.
1;01;Leonard; Well, then that was wrong of us. We need to widen our circle.
1;01;Sheldon; I have a very wide circle. I have 212 friends on myspace. 
1;01;Leonard; Yes, and you’ve never met one of them.
1;01;Sheldon; That’s the beauty of it.
1;01;Leonard; I’m going to invite her over. We’ll have a nice meal and chat.
1;01;Sheldon; Chat? We don’t chat. At least not offline.
1;01;Leonard; Well it’s not difficult, you just listen to what she says and then you say something appropriate in response.
1;01;Sheldon; To what end?
1;01;Leonard; Hi. Again.
1;01;Penny; Hi.
1;01;Sheldon; Hi.
1;01;Leonard; Hi.
1;01;Penny; Hi. 
1;01;Leonard; Anyway, um. We brought home Indian food. And, um. I know that moving can be stressful, and I find that when I’m undergoing stress, that good food and company can have a comforting effect. Also, curry is a natural laxative, and I don’t have to tell you that, uh, a clean colon is just one less thing to worry about.
1;01;Sheldon; Leonard, I’m not expert here but I believe in the context of a luncheon invitation, you might want to skip the reference to bowel movements.
1;01;Penny; Oh, you’re inviting me over to eat?
1;01;Leonard; Uh, yes.
1;01;Penny; Oh, that’s so nice, I’d love to.
1;01;Leonard; Great.
1;01;Penny; So, what do you guys do for fun around here?
1;01;Sheldon; Well, today we tried masturbating for money.
1;01;Scene; Sheldon and Leonard’s apartment.
1;01;Leonard; Okay, well, make yourself at home.
1;01;Penny; Okay, thankyou.
1;01;Leonard; You’re very welcome.
1;01;Penny; This looks like some serious stuff, Leonard, did you do this?
1;01;Sheldon; Actually that’s my work.
1;01;Penny; Wow.
1;01;Sheldon; Yeah, well, it’s just some quantum mechanics, with a little string theory doodling around the edges. That part there, that’s just a joke, it’s a spoof of the Bourne-Oppenheimer approximation.
1;01;Penny; So you’re like, one of those, beautiful mind genius guys.
1;01;Sheldon; Yeah. 
1;01;Penny; This is really impressive.
1;01;Leonard; I have a board. If you like boards, this is my board.
1;01;Penny; Holy smokes.
1;01;Sheldon; If by holy smokes you mean a derivative restatement of the kind of stuff you can find scribbled on the wall of any men’s room at MIT, sure.
1;01;Leonard; What?
1;01;Sheldon; Oh, come on. Who hasn’t seen this differential below “here I sit broken hearted?”
1;01;Leonard; At least I didn’t have to invent twenty-six dimensions just to make the math come out.
1;01;Sheldon; I didn’t invent them, they’re there.
1;01;Leonard; In what universe?
1;01;Sheldon; In all of them, that is the point.
1;01;Penny; Uh, do you guys mind if I start?
1;01;Sheldon; Um, Penny, that’s where I sit.
1;01;Penny; So, sit next to me. 
1;01;Sheldon; No, I sit there.
1;01;Penny; What’s the difference?
1;01;Sheldon; What’s the difference?
1;01;Leonard; Here we go.
1;01;Sheldon; In the winter that seat is close enough to the radiator to remain warm, and yet not so close as to cause perspiration. In the summer it’s directly in the path of a cross breeze created by open windows there, and there. It faces the television at an angle that is neither direct, thus discouraging conversation, nor so far wide to create a parallax distortion, I could go on, but I think I’ve made my point. 
1;01;Penny; Do you want me to move?
1;01;Sheldon; Well.
1;01;Leonard; Just sit somewhere else.
1;01;Sheldon; Fine. (Wanders in circles, looking lost.)
1;01;Leonard; Sheldon, sit! 
1;01;Sheldon; Aaah!
1;01;Leonard; Well this is nice. We don’t have a lot of company over.
1;01;Sheldon; That’s not true. Koothrapali and Wolowitz come over all the time. 
1;01;Leonard; Yes I now, but…
1;01;Sheldon; Tuesday night we played Klingon boggle until one in the morning.
1;01;Leonard; Yes, I remember.
1;01;Sheldon; I resent you saying we don’t have company.
1;01;Leonard; I’m sorry.
1;01;Sheldon; That is an antisocial implication.
1;01;Leonard; I said I’m sorry.
1;01;Penny; So, Klingon boggle?
1;01;Leonard; Yeah, it’s like regular boggle but, in Klingon. That’s probably enough about us, tell us about you.
1;01;Penny; Um, me, okay, I’m Sagittarius, which probably tells you way more than you need to know.
1;01;Sheldon; Yes, it tells us that you participate in the mass cultural delusion that the Sun’s apparent position relative to arbitrarily defined constellations and the time of your birth somehow effects your personality.
1;01;Penny; Participate in the what?
1;01;Leonard; I think what Sheldon’s trying to say, is that Sagittarius wouldn’t have been our first guess.
1;01;Penny; Oh, yeah, a lot of people think I’m a water sign. Okay, let’s see, what else, oh, I’m a vegetarian, oh, except for fish, and the occasional steak, I love steak. 
1;01;Sheldon; That’s interesting. Leonard can’t process corn.
1;01;Leonard; Wu-uh, do you have some sort of a job?
1;01;Penny; Oh, yeah, I’m a waitress at the Cheesecake Factory.
1;01;Leonard; Oh, okay. I love cheesecake.
1;01;Sheldon; You’re lactose intolerant. 
1;01;Leonard; I don’t eat it, I just think it’s a good idea.
1;01;Penny; Oh, anyways, I’m also writing a screenplay. It’s about this sensitive girl who comes to L.A. from Lincoln Nebraska to be an actress, and winds up a waitress at the Cheesecake Factory.
1;01;Leonard; So it’s based on your life?
1;01;Penny; No, I’m from Omaha. 
1;01;Leonard; Well, if that was a movie I would go see it.
1;01;Penny; I know, right? Okay, let’s see, what else? Um, that’s about it. That’s the story of Penny.
1;01;Leonard; Well it sounds wonderful.
1;01;Penny; It was. Until I fell in love with a jerk. 
1;01;Sheldon; What’s happening.
1;01;Leonard; I don’t know.
1;01;Penny; Oh God, you know, four years I lived with him, four years, that’s like as long as High School. 
1;01;Sheldon; It took you four years to get through High School?
1;01;Leonard; Don’t.
1;01;Penny; I just, I can’t believe I trusted him. 
1;01;Leonard; Should I say something? I feel like I should say something.
1;01;Sheldon; You? No, you’ll only make it worse.
1;01;Penny; You want to know the most pathetic part? Even though I hate his lying, cheating guts, I still love him. Is that crazy?
1;01;Sheldon; Yes. 
1;01;Leonard; No, it’s not crazy it’s, uh, uh, it’s a paradox. And paradoxes are part of nature, think about light. Now if you look at Huygens, light is a wave, as confirmed by the double slit experiments, but then, along comes Albert Einstein and discovers that light behaves like particles too. Well, I didn’t make it worse.
1;01;Penny; Oh, I’m so sorry, I’m such a mess, and on top of everything else I’m all gross from moving and my stupid shower doesn’t even work.
1;01;Leonard; Our shower works.
1;01;Penny; Really? Would it be totally weird if I used it?
1;01;Sheldon; Yes. 
1;01;Leonard; No.
1;01;Sheldon; No?
1;01;Leonard; No.
1;01;Sheldon; No.
1;01;Leonard; It’s right down the hall.
1;01;Penny; Thanks. You guys are really sweet. 
1;01;Sheldon; Well this is an interesting development. 
1;01;Leonard; How so?
1;01;Sheldon; It has been some time since we’ve had a woman take her clothes off in our apartment.
1;01;Leonard; That’s not true, remember at Thanksgiving my grandmother with Alzheimer’s had that episode.
1;01;Sheldon; Point taken. It has been some time since we’ve had a woman take her clothes off after which we didn’t want to rip our eyes out. 
1;01;Leonard; The worst part was watching her carve that turkey.
1;01;Sheldon; So, what exactly are you trying to accomplish here?
1;01;Leonard; Excuse me?
1;01;Sheldon; That woman in there’s not going to have sex with you.
1;01;Leonard; Well I’m not trying to have sex with her.
1;01;Sheldon; Oh, good. Then you won’t be disappointed.
1;01;Leonard; What makes you think she wouldn’t have sex with me, I’m a male and she’s a female?
1;01;Sheldon; Yes, but not of the same species.
1;01;Leonard; I’m not going to engage in hypotheticals here, I’m just trying to be a good neighbour.
1;01;Sheldon; Oh, of course.
1;01;Leonard; That’s not to say that if a carnal relationship were to develop that I wouldn’t participate. However briefly.
1;01;Sheldon; Do you think this possibility will be helped or hindered when she discovers your Luke Skywalker no-more-tears shampoo?
1;01;Leonard; It’s Darth Vader shampoo. (There is a knock on the door.) Luke Skywalker’s the conditioner. 
1;01;Howard; Wait till you see this.
1;01;Raj; It’s fantastic. Unbelievable.
1;01;Leonard; See what?
1;01;Howard; It’s a Stephen Hawking lecture from MIT in 1974.
1;01;Leonard; This is not a good time.
1;01;Howard; It’s before he became a creepy computer voice:.
1;01;Leonard; That’s great, you guys have to go.
1;01;Raj; Why?
1;01;Leonard; It’s just not a good time.
1;01;Sheldon; Leonard has a lady over.
1;01;Howard; Yeah, right, your grandmother back in town?
1;01;Leonard; No. And she’s not a lady, she’s just a new neighbour.
1;01;Howard; Hang on, there really is a lady here?
1;01;Leonard; Uh-huh.
1;01;Howard; And you want us out because you’re anticipating coitus?
1;01;Leonard; I’m not anticipating coitus.
1;01;Howard; So she’s available for coitus?
1;01;Leonard; Can we please stop saying coitus?
1;01;Sheldon; Technically that would be coitus interruptus.
1;01;Penny; Hey, is there a trick to getting it to switch from tub to shower. Oh. Hi, sorry. Hello!
1;01;Howard; Enchante Madamoiselle. Howard Wolowitz, Cal-Tech department of Applied Physics. You may be familiar with some of my work, it’s currently orbiting Jupiter’s largest moon taking high-resolution digital photographs.
1;01;Penny; Penny. I work at the Cheesecake Factory.
1;01;Leonard; Come on, I’ll show you the trick with the shower.
1;01;Howard; Bon douche.
1;01;Penny; I’m sorry?
1;01;Howard; It’s French for good shower. It’s a sentiment I can express in six languages.
1;01;Leonard; Save it for your blog, Howard.
1;01;Howard; See-ka-tong-guay-jow.
1;01;Scene; In the bathroom.
1;01;Leonard; Uh, there it goes, it sticks, I’m sorry.
1;01;Penny; Okay. Thanks. 
1;01;Leonard; You’re welcome, oh, you’re going to step right, okay, I’ll….
1;01;Penny; Hey, Leonard?
1;01;Leonard; The hair products are Sheldon’s.
1;01;Penny; Um, okay. Can I ask you a favour.
1;01;Leonard; A favour? Sure, you can ask me a favour, I would do you a favour for you.
1;01;Penny; It’s okay if you say no.
1;01;Leonard; Oh, I’ll probably say yes.
1;01;Penny; It’s just not the kind of thing you ask a guy you’ve just met.
1;01;Leonard; Wow.
1;01;Scene; Leonard and Sheldon, Inside Leonard’s car
1;01;Sheldon; I really think we should examine the chain of causality here.
1;01;Leonard; Must we?
1;01;Sheldon; Event A. A beautiful woman stands naked in our shower. Event B. We drive half way across town to retrieve a television set from the aforementioned woman’s ex-boyfriend. Query, on what plane of existence is there even a semi-rational link between these events?
1;01;Leonard; She asked me to do her a favour, Sheldon.
1;01;Sheldon; Ah, yes, well that may be the proximal cause of our journey, but we both know it only exists in contradistinction to the higher level distal cause.
1;01;Leonard; Which is?
1;01;Sheldon; You think with your penis.
1;01;Leonard; That’s a biological impossibility and you didn’t have to come.
1;01;Sheldon; Oh, right, yes, I could have stayed behind and watched Wolowitz try to hit on Penny in Russian, Arabic and Farsi. Why can’t she get her own TV.
1;01;Leonard; Come on, you know how it is with break-ups.
1;01;Sheldon; No I don’t. And neither do you.
1;01;Leonard; Wuh, I, I broke up with Joyce Kim.
1;01;Sheldon; You did not break up with Joyce Kim, she defected to North Korea.
1;01;Leonard; To mend her broken heart. This situation is much less complicated. There’s some kind of dispute between Penny and her ex-boyfriend as to who gets custody of the TV. She just wanted to avoid having a scene with him.
1;01;Sheldon; So we get to have a scene with him?
1;01;Leonard; No, Sheldon, there’s not going to be a scene. There’s two of us and one of him.
1;01;Sheldon; Leonard, the two of us can’t even carry a TV. 
1;01;Scene; Back at the apartment.
1;01;Penny; So, you guys work with Leonard and Sheldon at the University?
1;01;Penny; Uh, I’m sorry, do you speak English?
1;01;Howard; Oh, he speaks English, he just can’t speak to women.
1;01;Penny; Really, why?
1;01;Howard; He’s kind of a nerd. Juice box?
1;01;Scene; Outside Penny’s old apartment building.
1;01;Leonard; I’ll do the talking.
1;01;Voice from buzzer; Yeah.
1;01;Leonard; Hi, I’m Leonard, this is Sheldon.
1;01;Sheldon; Hello.
1;01;Leonard; What did I just…. Uh, we’re here to pick up Penny’s TV.
1;01;Voice; Get lost.
1;01;Sheldon; Okay, thanks for your time.
1;01;Leonard; We’re not going to give up just like that.
1;01;Sheldon; Leonard, the TV is in the building, we’ve been denied access to the building, ergo we are done.
1;01;Leonard; Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang.
1;01;Sheldon; My apologies. What’s your plan.
1;01;Sheldon; It’s just a privilege to watch your mind at work.
1;01;Leonard; Come on, we have a combined IQ of 360, we should be able to figure out how to get into a stupid building.
1;01;Sheldon; What do you think their combined IQ is?
1;01;Leonard; Just grab the door.
1;01;Scene; Outside Penny’s ex-boyfriend’s apartment.
1;01;Leonard; This is it. (Knocks.) I’ll do the talking.
1;01;Sheldon; Good thinking, I’ll just be the muscle.
1;01;Enormous man; Yeah?
1;01;Leonard; I’m Leonard, this is Sheldon.
1;01;Sheldon; From the intercom.
1;01;Man; How the hell did you get in the building?
1;01;Leonard; Oh. We’re scientists.
1;01;Sheldon; Tell him about our IQ.
1;01;Scene; Outside the apartment building. Leonard and Sheldon exit. They are not wearing trousers.
1;01;Sheldon; Leonard.
1;01;Leonard; What?
1;01;Sheldon; My mom bought me those pants.
1;01;Leonard; I’m sorry.
1;01;Sheldon; You’re going to have to call her.
1;01;Scene; On the stairs of Sheldon and Leonard’s building.
1;01;Leonard; Sheldon, I’m so sorry I dragged you through this.
1;01;Sheldon; It’s okay. It wasn’t my first pantsing, and it won’t be my last.
1;01;Leonard; And you were right about my motives, I was hoping to establish a relationship with Penny that might have some day led to sex.
1;01;Sheldon; Well you got me out of my pants.
1;01;Leonard; Anyway, I’ve learned my lesson. She’s out of my league, I’m done with her, I’ve got my work, one day I’ll win the Nobel Prize and then I’ll die alone.
1;01;Sheldon; Don’t think like that, you’re not going to die alone.
1;01;Leonard; Thank you Sheldon, you’re a good friend.
1;01;Sheldon; And you’re certainly not going to win a Nobel Prize.
1;01;Scene; Inside Sheldon and Leonard’s apartment.
1;01;Howard; This is one of my favourite places to kick back after a quest, they have a great house ale.
1;01;Penny; Wow, cool tiger.
1;01;Howard; Yeah, I’ve had him since level ten. His name is Buttons. Anyway, if you had your own game character we could hang out, maybe go on a quest.
1;01;Penny; Uh, sounds interesting.
1;01;Howard; So you’ll think about it?
1;01;Penny; Oh, I don’t think I’ll be able to stop thinking about it.
1;01;Raj; Smooth.
1;01;Leonard; We’re home.
1;01;Penny; Oh, my God, what happened?
1;01;Leonard; Well, your ex-boyfriend sends his regards and I think the rest is fairly self-explanatory.
1;01;Penny; I’m so sorry, I really thought if you guys went instead of me he wouldn’t be such an ass.
1;01;Leonard; No, it was a valid hypothesis.
1;01;Sheldon; That was a valid hypothesis? What is happening to you?
1;01;Penny; Really, thank you so much for going and trying you’re, uh, you’re so terrific. Why don’t you put some clothes on, I’ll get my purse and dinner is on me, okay?
1;01;Leonard; Really? Great.
1;01;Sheldon; Thank you. You’re not done with her, are you?
1;01;Leonard; Our babies will be smart and beautiful.
1;01;Sheldon; Not to mention imaginary.
1;01;Scene; All five in Leonard’s car.
1;01;Leonard; Is Thai food okay with you Penny?
1;01;Penny; Sure.
1;01;Sheldon; We can’t have Thai food, we had Indian for lunch.
1;01;Penny; So?
1;01;Sheldon; They’re both curry based cuisines.
1;01;Penny; So?
1;01;Sheldon; They would be gastronomically redundant. I can see we’re going to have to spell out everything for this girl.
1;01;Penny; Any ideas Raj? (He just looks at her with a worried expression.)
1;01;Howard; Turn left on Lake Street and head up to Colorado. I know a wonderful little sushi bar that has karaoke.
1;01;Penny; That sounds like fun.
1;01;Howard; Baby, baby don’t get hooked on me. Uh, baby, baby don’t get hooked on me.
1;01;Sheldon; I don’t know what your odds are in the world as a whole, but as far as the population of this car goes, you’re a veritable Mack Daddy. 
1;02;Scene; Sheldon and Leonard’s apartment. Sheldon, Leonard, Howard and Raj are present.
1;02;Leonard; There you go, Pad Thai, no peanuts.
1;02;Howard; But does it have peanut oil?
1;02;Leonard; Uh, I’m not sure, everyone keep an eye on Howard in case he starts to swell up.
1;02;Sheldon; Since it’s not bee season, you can have my epinephrine.
1;02;Raj; Are there any chopsticks?
1;02;Sheldon; You don’t need chopsticks, this is Thai food.
1;02;Leonard; Here we go.
1;02;Sheldon; Thailand has had the fork since the latter half of the nineteenth century. Interestingly they don’t actually put the fork in their mouth, they use it to put the food on a spoon which then goes into their mouth.
1;02;Leonard; Ask him for a napkin, I dare you. (There is a knock on the door.) I’ll get it.
1;02;Howard; Do I look puffy? I feel puffy.
1;02;Penny; Hey Leonard.
1;02;Leonard; Oh, hi Penny.
1;02;Penny; Am I interrupting.
1;02;Leonard; No.
1;02;Sheldon; You’re not swelling, Howard.
1;02;Howard; No, no, look at my fingers, they’re like Vienna sausages.
1;02;Penny; Sounds like you have company.
1;02;Leonard; They’re not going anywhere. (Closes door, staying in hallway.) So, you’re coming home from work. That’s great. How was work.
1;02;Penny; Well, you know, it’s the Cheesecake Factory. People order cheesecake, and I bring it to them.
1;02;Leonard; So, you sort of act as a carbohydrate delivery system.
1;02;Penny; Yeah, call it whatever you want, I get minimum wage. Yeah, anyways, I was wondering if you could help me out with something, I was….
1;02;Leonard; Yes.
1;02;Penny; Oh. Okay, great, I’m having some furniture delivered tomorrow, and I may not be here, so…. (apartment door opens, Sheldon, Raj and Howard appear) Oh! Hel…hello!
1;02;Howard; (speaks a phrase in Russian).
1;02;Penny; I’m sorry?
1;02;Howard; Haven’t you ever been told how beautiful you are in flawless Russian?
1;02;Penny; No, I haven’t.
1;02;Howard; Get used to it.
1;02;Penny; Yeah, I probably won’t, but… Hey Sheldon.
1;02;Sheldon; Hi.
1;02;Penny; Hey Raj! (Raj looks uncomfortable) Still not talking to me, huh?
1;02;Sheldon; Don’t take it personally, it’s his pathology, he can’t talk to women.
1;02;Howard; He can’t talk to attractive women, or in your case a cheesecake–scented Goddess!
1;02;Leonard; So, there’s gonna be some furniture delivered?
1;02;Penny; Yeah, yeah, if it gets here and I’m not here tomorrow could you just sign for it and have them put it in my apartment.
1;02;Leonard; Yeah, no problem.
1;02;Penny; Great, here’s my spare key. Thank you.
1;02;Leonard; Penny, wait.
1;02;Penny; Yeah?
1;02;Leonard; Um, if you don’t have any other plans, do you want to join us for Thai food and a Superman movie marathon?
1;02;Penny; A marathon? Wow, how many Superman movies are there?
1;02;Sheldon; You’re kidding, right?
1;02;Penny; Yeah, I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her, which one was that? 
1;02;Leonard,Sheldon and Howard together; One. (Raj raises one finger). 
1;02;Sheldon; You realise that scene was rife with scientific inaccuracy.
1;02;Penny; Yes, I know, men can’t fly.
1;02;Sheldon; Oh no, let’s assume that they can. Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now travelling at approximately 120 miles per hour, hits them, and is immediately sliced into three equal pieces. 
1;02;Leonard; Unless, Superman matches her speed and decelerates. 
1;02;Sheldon; In what space, sir, in what space? She’s two feet above the ground. Frankly, if he really loved her, he’d let her hit the pavement. It would be a more merciful death.
1;02;Leonard; Excuse me, your entire argument is predicated on the assumption that Superman’s flight is a feat of strength.
1;02;Sheldon; Are you listening to yourself, it is well established that Superman’s flight is a feat of strength, it is an extension of his ability to leap tall buildings, an ability he derives from Earth’s yellow Sun.
1;02;Howard; Yeah, and you don’t have a problem with that, how does he fly at night.
1;02;Sheldon; Uh, a combination of the moon’s solar reflection and the energy storage capacity of Kryptonian skin cells.
1;02;Penny; I’m just going to go wash up.
1;02;Leonard; I have 26 hundred comic books in there, I challenge you to find a single reference to Kryptonian skin cells.
1;02;Sheldon; Challenge accepted. (Tries door.) We’re locked out.
1;02;Raj; Also, the pretty girl left.
1;02;Scene; Ground floor hallway of the apartment building. Leonard is signing for the delivery.
1;02;Leonard; Okay, her apartment’s on the fourth floor but the elevator’s broken so you’re going to have to (delivery man leaves) oh, you’re just going to be done, okay, cool, thanks. I guess we’ll just bring it up ourselves.
1;02;Sheldon; I hardly think so. 
1;02;Leonard; Why not?
1;02;Sheldon; Well, we don’t have a dolly, or lifting belts, or any measurable upper body strength.
1;02;Leonard; We don’t need strength, we’re physicists. We are the intellectual descendents of Archimedes. Give me a fulcrum and a lever and I can move the Earth, it’s just a matter… (starts to move package) I don’t have this… I don’t have this I don’t have this.
1;02;Sheldon; Archimedes would be so proud.
1;02;Leonard; Do you have any ideas?
1;02;Sheldon; Yes, but they all involve a green lantern and a power ring.
1;02;Leonard; Easy, easy (package falls) Okay! Now we’ve got an inclined plane. The force required to lift is reduced by the sine of the angle of the stairs, call it thirty degrees, so about half. 
1;02;Sheldon; Exactly half.
1;02;Leonard; Exactly half. Let’s push. Okay, see, it’s moving, this is easy, all in the math. 
1;02;Sheldon; What’s your formula for the corner.
1;02;Leonard; What? Oh, okay, uh, okay, yeah, no problem, just come up here and help me pull and turn.
1;02;Sheldon; Ah, gravity, thou art a heartless bitch.
1;02;Sheldon; You do understand that our efforts here will in no way increase the odds of you having sexual congress with this woman?
1;02;Leonard; Men do things for women without expecting sex.
1;02;Sheldon; Yeah, those are men who just had sex.
1;02;Leonard; I’m doing this to be a good neighbour. In any case, there’s no way it could lower the odds.
1;02;Leonard; Almost there, almost there, almost there. (Lets go of package, it starts to slip down)
1;02;Sheldon; No we’re not, no we’re not, no we’re not.
1;02;Scene; Inside Penny’s apartment. They are laying the package down on the floor.
1;02;Sheldon; Watch your fingers. Watch your fingers. Oh God, my fingers!
1;02;Leonard; You okay?
1;02;Sheldon; No, it hurt… (looking around) Great Caesar’s Ghost, look at this place?
1;02;Leonard; So Penny’s a little messy.
1;02;Sheldon; A little messy? The Mandelbrot set of complex numbers is a little messy, this is chaos. Excuse me, explain to me an organisational system where a tray of flatware on a couch is valid. I’m just inferring that this is a couch, because the evidence suggests the coffee table’s having a tiny garage sale. 
1;02;Leonard; Did it ever occur to you that not everyone has the compulsive need to sort, organise and label the entire world around them?
1;02;Sheldon; No.
1;02;Leonard; Well they don’t. Hard as it may be for you to believe, most people don’t sort their breakfast cereal numerically by fibre content.
1;02;Sheldon; Excuse me, but I think we’ve both found that helpful at times.
1;02;Leonard; Come on, we should go.
1;02;Sheldon; Hang on.
1;02;Leonard; What are you doing?
1;02;Sheldon; Straightening up.
1;02;Leonard; Sheldon, this is not your home.
1;02;Sheldon; This is not anyone’s home, this is a swirling vortex of entropy.
1;02;Leonard; When the transvestite lived here, you didn’t care how he kept the place.
1;02;Sheldon; Because it was immaculate, I mean, you open that man’s closet, it was left to right, evening gowns, cocktail dresses, then his police uniforms.
1;02;Leonard; What were you doing in his closet?
1;02;Sheldon; I helped run some cable for a webcam.
1;02;Penny; Hey guys.
1;02;Leonard; Oh, hey Penny, this just arrived, we just brought this up, just now.
1;02;Penny; Great. Was it hard getting it up the stairs?
1;02;Sheldon; (sucks in breath)
1;02;Leonard; No.
1;02;Sheldon; No?
1;02;Leonard; No.
1;02;Sheldon; No.
1;02;Leonard; Well, we’ll get out of your hair.
1;02;Penny; Oh, great, thank you again (she throws her jacket over the back of the sofa).
1;02;Sheldon; Penny, I just want you to know that, you don’t have to live like this. I’m here for you.
1;02;Penny; What’s he talking about?
1;02;Leonard; It’s a joke.
1;02;Penny; I don’t get it.
1;02;Leonard; Yeah, he didn’t tell it right.
1;02;Scene; Leonard’s bedroom, he is asleep. Sound of door opening and closing somewhere else is heard. Leonard wakes, puts on his glasses and looks at the clock. It is 2:16.
1;02;Leonard; Sheldon?
1;02;Scene; The living room. Leonard enters carrying a light sabre.
1;02;Leonard; Sheldon? Hello? 
1;02;Scene; Penny’s apartment, penny is sleeping, Sheldon is cleaning. Leonard enters.
1;02;Leonard; Sheldon!
1;02;Sheldon; Sssshhhh! Penny’s sleeping.
1;02;Leonard; Are you insane, you can’t just break into a woman’s apartment in the middle of the night and clean.
1;02;Sheldon; I had no choice. I couldn’t sleep knowing that just outside my bedroom was our living room, and just outside our living room was that hallway, and immediately adjacent to that hallway was… this.
1;02;Leonard; Do you realise that if Penny wakes up, there is no reasonable explanation as to why we’re here?
1;02;Sheldon; I just gave you a reasonable explanation.
1;02;Leonard; No, no. You gave me an explanation, it’s reasonableness will be determined by a jury of your peers.
1;02;Sheldon; Don’t be ridiculous. I have no peers.
1;02;Leonard; Sheldon, we have to get out of here.
1;02;Sheldon; You might want to speak in a lower register.
1;02;Leonard; What?
1;02;Sheldon; Evolution has made women sensitive to high pitched noises while they sleep, so that they’ll be roused by a crying baby. If you want to avoid waking her, speak in a lower register.
1;02;Leonard; That’s ridiculous. (Penny snores again.)
1;02;Sheldon; No, (lowering his voice dramatically,) that’s ridiculous.
